"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,1822594,-1808922,1113703,-2918515
12,1824594,-1806922,1140436,-2943248
13,1834594,-2079474,1156187,-3235661
14,1952962,-1965082,1176048,-3137020
15,2071911,-1849708,1261289,-3106887
16,3121011,-1237280,1339176,-2572346
17,3255287,-1156306,1541907,-2694103
18,5018769,591380,1631295,-1038888
19,5163515,733767,1667595,-930489
20,5327838,248767,1780565,-1528459
21,5410581,-320664,1902082,-2219407
22,5487230,-1382833,2079659,-3459153
23,5601012,-1273306,2116539,-3385928
24,5717236,-1161583,2151129,-3308699
25,7817086,936477,2306886,-1366861
26,7861472,978931,2342897,-1360418
27,7921204,970714,2377025,-1402482
28,10362167,3480168,2604470,879808
29,10728760,1786457,2909146,-1118579
30,11365898,2388943,2947127,-555102
31,12013416,3001058,3113951,-109811
32,12657552,3601547,3162236,442265
33,15381174,6155156,3198333,2956823
34,18427070,9006441,3394366,5612075
35,20959441,11376046,3497499,7878547
36,22804454,13111524,3739222,9372302
37,25649869,15877631,3970320,11907311
38,26860086,17006925,4013262,12993663
39,29576525,19256566,4288536,14968030
40,30656125,20263673,4333782,15929891
41,32338698,21292863,4451196,16841667
42,36805776,25550401,4734741,20815660
43,39939895,28405844,4861046,23544798
44,51942246,39577623,4926179,34651444
45,60389377,47472519,4993708,42478811
46,62607030,49196282,5154652,44041630
47,65449550,51073726,5335914,45737812
48,68304740,53747007,5442994,48304013
49,71217992,56476324,5525126,50951198
50,74972813,60065664,5607174,54458490
51,77589349,62520680,5684430,56836250
52,85843897,69182649,6014790,63167859
53,91342538,74306861,6097073,68209788
54,97813650,80355692,6203906,74151786
55,99838723,82239117,6282393,75956724
56,102256561,83081174,6413900,76667274
57,104913401,84942849,6640705,78302144
58,107630231,86690571,6965564,79725007
59,112530265,91385767,7077870,84307897
60,115514502,94165359,7159808,87005551
61,118419574,96859910,7285323,89574587
62,121322209,99553922,7375820,92178102
63,124276187,101035150,7496471,93538679
64,127274424,103849468,7590922,96258546
65,140627384,116403486,7677463,108726023
66,144073427,119295180,7801699,111493481
67,148612161,123649125,8141385,115507740
68,151596383,126453260,8216432,118236828
69,155240497,129914932,8323255,121591677
70,169053295,142147963,8537682,133610281
71,177689905,150374644,8724344,141650300
72,190848018,162724726,8812127,153912599
73,193758477,164978363,8992954,155985409
74,197020758,168064549,9115491,158949058
75,199831091,169603317,9401118,160202199
76,202616129,171305274,9540792,161764482
77,205302614,173364296,9696676,163667620
78,209207538,176270945,9983418,166287527
79,212530890,179445138,10082350,169362788
80,215212635,181152977,10368191,170784786
81,217188796,181779541,10643098,171136443
82,220224769,183979675,10960934,173018741
83,222738551,185980297,11140586,174839711
84,230909308,193060860,11390070,181670790
85,238849372,200651263,11506732,189144531
86,239958711,201008042,11758290,189249752
87,241261120,202268633,11857261,190411372
88,245792635,206297046,12209848,194087198
89,248453104,208408351,12368292,196040059
90,251207588,211030691,12464616,198566075